name,Id,location,score,length,start,end,Floor,Area,ZX,ZY,length
,82,32535.6256,,4.281473333,32531.34413,32539.90707,2,642.221,116.3958085,39.83555163,12.84442
,83,32658.777,,2.70716,32656.06984,32661.48416,1,812.148,116.3920837,39.83567478,8.12148
,84,32674.0013,,3.2787,32670.7226,32677.28,2,491.805,116.3958234,39.83569,9.8361
,85,32738.4,,2.271126667,32736.12887,32740.67113,2,340.669,116.3968597,39.8357544,6.81338
,86,32793.1011,,4.161753333,32788.93935,32797.26285,2,624.263,116.3958883,39.8358091,12.48526
,87,32831.9762,,10.10415,32821.87205,32842.08035,5,606.249,116.3953623,39.83584798,30.31245
,88,32923.9767,,5.069473333,32918.90723,32929.04617,2,760.421,116.3959827,39.83593998,15.20842
,89,33021.45,,6.021066667,33015.42893,33027.47107,1,1806.32,116.3921962,39.83603745,18.0632
,90,33029.9238,,0.945453333,33028.97835,33030.86925,2,141.818,116.394198,39.83604592,2.83636
,91,33060.75,,7.307266667,33053.44273,33068.05727,2,1096.09,116.3960113,39.83607675,21.9218
,92,33138.9,,1.204253333,33137.69575,33140.10425,2,180.638,116.3938647,39.8361549,3.61276
,93,33205.85,,6.490053333,33199.35995,33212.34005,2,973.508,116.3960563,39.83622185,19.47016
,94,33345.55,,9.065466667,33336.48453,33354.61547,5,543.928,116.3938663,39.83636155,27.1964
,95,33561.721,,11.86532,33549.85568,33573.58632,6,593.266,116.3956369,39.83657772,35.59596
,96,33577.05,,2.0428,33575.0072,33579.0928,5,122.568,116.3935749,39.83659305,6.1284
,97,33619.05,,4.420666667,33614.62933,33623.47067,5,265.24,116.393173,39.83663505,13.262
,98,33643.6,,18.98967,33624.61033,33662.58967,9,632.989,116.391606,39.8366596,56.96901
,99,33668.2,,4.694333333,33663.50567,33672.89433,5,281.66,116.3928134,39.8366842,14.083
,100,33707.5484,,7.8493,33699.6991,33715.3977,5,470.958,116.3938876,39.83672355,23.5479
,101,33754.6,,2.341916667,33752.25808,33756.94192,5,140.515,116.3925581,39.8367706,7.02575
,102,33818.9678,,7.26852,33811.69928,33826.23632,6,363.426,116.3953263,39.83683497,21.80556
,103,33923.0263,,4.5249,33918.5014,33927.5512,5,271.494,116.3931721,39.83693903,13.5747
,104,33935.45,,2.2883,33933.1617,33937.7383,5,137.298,116.3935639,39.83695145,6.8649
